Name,Type,MainMuscle,SecondaryMuscles,Equipment,MechanicsType,Level,Sport,Force
Pelvic Tilt Into Bridge,Stretching,LowerBack,0,None,Compound,Intermediate,No,Static
Peroneals-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Pin Presses,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Plank,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Plate Pinch,Strength,Forearms,0,Other,Isolation,Intermediate,No,Static
Platform Hamstring Slides,Strength,Hamstrings, Glutes,Other,Isolation,Beginner,No,Pull
Plyo Kettlebell Pushups,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Expert,No,Push
Posterior Tibialis Stretch,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Power Clean from Blocks,OlympicWeightlifting,Hamstrings, Quadriceps,Barbell,Compound,Intermediate,No,Pull
Power Partials,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Power Snatch from Blocks,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Preacher Curl,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Press Sit-Up,Strength,Abdominals, Chest Shoulders Triceps,Barbell,Compound,Expert,No,Push
Prowler Sprint,Cardio,Hamstrings, Calves Chest Glutes Quadriceps Shoulders,Other,Compound,Beginner,No,Push
Pullups,Strength,Lats, Biceps MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Push Press - Behind the Neck,OlympicWeightlifting,Shoulders, Calves Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
Push-Up Wide,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,N/A
Push-Ups With Feet Elevated,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pushups,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pyramid,Stretching,LowerBack, Shoulders,ExerciseBall,N/A,Beginner,No,Static
Palms-Down Dumbbell Wrist Curl Over A Bench,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Palms-Up Barbell Wrist Curl Over A Bench,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Parallel Bar Dip,Strength,Triceps, Chest Shoulders,Other,Compound,Beginner,No,Push
Peroneals Stretch,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Physioball Hip Bridge,Strength,Glutes, Hamstrings,ExerciseBall,Compound,Beginner,No,Push
Piriformis-SMR,Stretching,Glutes,0,FoamRoll,Isolation,Intermediate,No,Static
Plank with Twist,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Plate Twist,Strength,Abdominals,Other,Compound,Intermediate,No,Pull,
Plie Dumbbell Squat,Strength,Quadriceps, Abdominals Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Plyo Push-up,Plyometrics,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Power Clean,Strength,Hamstrings, Calves Forearms Glutes LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Power Jerk,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
Power Snatch,OlympicWeightlifting,Hamstrings, Calves Glutes LowerBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Expert,No,Pull
Power Stairs,Strongman,Hamstrings, Adductors Calves Glutes LowerBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
Preacher Hammer Dumbbell Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Prone Manual Hamstring,Strength,Hamstrings,0,None,Isolation,Beginner,No,Static
Pull Through,Strength,Glutes, Hamstrings LowerBack,Cable,Compound,Beginner,No,Pull
Push Press,OlympicWeightlifting,Shoulders, Quadriceps Triceps,Barbell,Compound,Expert,No,Push
Push Up to Side Plank,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Push-Ups - Close Triceps Position,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
Push-Ups With Feet On An Exercise Ball,Strength,Chest, Shoulders Triceps,ExerciseBall,Compound,Intermediate,No,Push
Pushups (Close and Wide Hand Positions),Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Quad Stretch,Stretching,Quadriceps,0,Other,N/A,Intermediate,No,Static
Quick Leap,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Quadriceps-SMR,Stretching,Quadriceps,0,FoamRoll,Isolation,Intermediate,No,Static
Rack Delivery,OlympicWeightlifting,Shoulders, Forearms Traps,Barbell,Compound,Intermediate,No,Pull
Rack Pulls,Powerlifting,LowerBack, Forearms Glutes Hamstrings Traps,Barbell,Compound,Intermediate,No,Pull
Recumbent Bike,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Reverse Band Bench Press,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Reverse Band Deadlift,Powerlifting,LowerBack, Abductors Adductors Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Expert,No,Pull
Reverse Band Sumo Deadlift,Powerlifting,Hamstrings, Abductors Adductors Calves Forearms Glutes LowerBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Reverse Barbell Preacher Curls,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Intermediate,No,Pull
Reverse Crunch,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Reverse Flyes With External Rotation,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Reverse Grip Triceps Pushdown,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Reverse Machine Flyes,Strength,Shoulders,0,Machine,Isolation,Beginner,No,Pull
Reverse Triceps Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Rickshaw Carry,Strongman,Forearms, Abdominals Calves Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
Ring Dips,Strength,Triceps, Chest Shoulders,Other,Compound,Intermediate,No,Push
Rocking Standing Calf Raise,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
Romanian Deadlift,Strength,Hamstrings, Calves Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Rope Climb,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Rope Jumping,Cardio,Quadriceps, Calves Hamstrings,Other,N/A,Intermediate,Both,No
Round The World Shoulder Stretch,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
'Runner''s Stretch',Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Russian Twist,Strength,Abdominals, LowerBack,BodyOnly,Compound,Intermediate,No,Pull
Rack Pull with Bands,Powerlifting,LowerBack, Forearms Glutes Hamstrings Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Rear Leg Raises,Stretching,Quadriceps,0,BodyOnly,N/A,Beginner,No,Push
Return Push from Stance,Plyometrics,Shoulders, Chest Triceps,MedicineBall,Compound,Beginner,No,Push
Reverse Band Box Squat,Powerlifting,Quadriceps, Abductors Adductors Calves Forearms Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Reverse Band Power Squat,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Reverse Barbell Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Reverse Cable Curl,Strength,Biceps, Forearms,Cable,Isolation,Beginner,No,Pull
Reverse Flyes,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Pull
Reverse Grip Bent-Over Rows,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
Reverse Hyperextension,Strength,Hamstrings, Calves Glutes,Machine,N/A,Intermediate,No,Pull
Reverse Plate Curls,Strength,Biceps, Forearms,Other,Isolation,Beginner,No,Pull
Rhomboids-SMR,Stretching,MiddleBack, Traps,FoamRoll,N/A,Intermediate,No,Static
Rickshaw Deadlift,Strongman,Quadriceps, Forearms Glutes Hamstrings LowerBack Traps,Other,Compound,Intermediate,Yes,Pull
Rocket Jump,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
Rocky Pull-Ups/Pulldowns,Strength,Lats, Biceps MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Romanian Deadlift from Deficit,OlympicWeightlifting,Hamstrings, Forearms Glutes LowerBack Traps,Barbell,Compound,Intermediate,No,Pull
Rope Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Rope Straight-Arm Pulldown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
'Rowing, Stationary',Cardio,Quadriceps, Biceps Calves Glutes Hamstrings LowerBack MiddleBack,Machine,N/A,Intermediate,Indoor,No
'Running, Treadmill',Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,No,N/A
Sandbag Load,Strongman,Quadriceps, Abdominals Biceps Calves Forearms Glutes Hamstrings LowerBack MiddleBack Shoulders Traps,Other,Compound,Beginner,Yes,Pull
Scissor Kick,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated Band Hamstring Curl,Strength,Hamstrings,0,Other,Isolation,Beginner,No,Pull
Seated Barbell Twist,Strength,Abdominals,0,Barbell,Isolation,Beginner,No,Pull
Seated Bent-Over Rear Delt Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Biceps,Stretching,Biceps, Chest Shoulders,BodyOnly,Isolation,Expert,No,Static
Seated Cable Shoulder Press,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
Seated Calf Stretch,Stretching,Calves, Hamstrings LowerBack,None,N/A,Beginner,No,Static
Seated Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Seated Floor Hamstring Stretch,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Seated Glute,Stretching,Glutes, Adductors,BodyOnly,N/A,Expert,No,Static
Seated Hamstring,Stretching,Hamstrings, Calves,None,N/A,Expert,No,Static
Seated Head Harness Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Seated Leg Tucks,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Overhead Stretch,Stretching,Abdominals,0,None,Isolation,Beginner,No,Static
Seated Palms-Down Barbell Wrist Curl,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Seated Triceps Press,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
See-Saw Press (Alternating Side Press),Strength,Shoulders, Abdominals Triceps,Dumbbell,Compound,Intermediate,No,Push
Shoulder Circles,Stretching,Shoulders, Traps,None,N/A,Beginner,No,Pull
Shoulder Raise,Stretching,Shoulders, Lats,None,N/A,Beginner,No,Pull
Side Bridge,Strength,Abdominals, Shoulders,BodyOnly,N/A,Beginner,No,Static
Side Jackknife,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Side Laterals to Front Raise,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
Side Lying Groin Stretch,Stretching,Adductors, Hamstrings,None,Isolation,Beginner,No,Static
Side Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Side To Side Chins,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Side-Lying Floor Stretch,Stretching,Lats,0,None,N/A,Beginner,No,Static
Single Leg Butt Kick,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
Single Leg Push-off,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Arm Linear Jammer,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Single-Cone Sprint Drill,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,No,Push
Single-Leg Hop Progression,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Leg Leg Extension,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
Sit Squats,Stretching,Quadriceps, Abductors Glutes Hamstrings,None,N/A,Beginner,No,Push
Skating,Cardio,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,N/A,Intermediate,No,N/A
Sled Overhead Backward Walk,Strength,Shoulders, Calves MiddleBack Quadriceps,Other,Compound,Beginner,No,Pull
Sled Push,Strongman,Quadriceps, Calves Chest Glutes Hamstrings Triceps,Other,Compound,Beginner,No,Push
Sled Row,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Smith Incline Shoulder Raise,Strength,Shoulders, Chest,Barbell,Isolation,Beginner,No,Push
Smith Machine Bench Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Calf Raise,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Decline Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,N/A
Smith Machine Hip Raise,Strength,Abdominals,0,Machine,Isolation,Beginner,No,Pull
Smith Machine Leg Press,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Smith Machine Overhead Shoulder Press,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Reverse Calf Raises,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Machine,Compound,Beginner,No,Push
Smith Machine Upright Row,Strength,Traps, Biceps MiddleBack Shoulders,Machine,Compound,Beginner,No,Pull
Snatch,OlympicWeightlifting,Quadriceps, Biceps Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Snatch Deadlift,OlympicWeightlifting,Hamstrings, Forearms Glutes Hamstrings LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Snatch Pull,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Speed Band Overhead Triceps,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Speed Box Squat,Powerlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Spell Caster,Strength,Abdominals, Glutes Shoulders,Dumbbell,Compound,Beginner,No,Pull
Spider Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Split Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Split Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Split Squat with Dumbbells,Strength,Quadriceps, Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Squat Jerk,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
Squat with Chains,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Squats - With Bands,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Bands,Compound,Beginner,No,Push
Standing Alternating Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Barbell Press Behind Neck,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Standing Biceps Stretch,Stretching,Biceps, Chest Shoulders,Other,Isolation,Beginner,No,Static
Standing Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Standing Cable Wood Chop,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
Standing Concentration Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Standing Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Push
Standing Dumbbell Upright Row,Strength,Traps, Biceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
Standing Front Barbell Raise Over Head,Strength,Shoulders,0,Barbell,Isolation,Intermediate,No,Push
Standing Hamstring and Calf Stretch,Stretching,Hamstrings,0,Other,N/A,Beginner,No,Static
Standing Hip Flexors,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
Standing Lateral Stretch,Stretching,Abdominals,0,None,N/A,Beginner,No,Static
Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Standing Low-Pulley One-Arm Triceps Extension,Strength,Triceps, Chest Shoulders,Cable,Isolation,Intermediate,No,Push
Standing Olympic Plate Hand Squeeze,Strength,Forearms, Biceps,Other,Isolation,Beginner,No,Static
Standing One-Arm Dumbbell Curl Over Incline Bench,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Standing Overhead Barbell Triceps Extension,Strength,Triceps, Shoulders,Barbell,Isolation,Beginner,No,Push
Standing Palms-In Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Standing Pelvic Tilt,Stretching,LowerBack, Glutes,None,Isolation,Beginner,No,Static
Standing Soleus And Achilles Stretch,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Standing Towel Triceps Extension,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Star Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings Shoulders,BodyOnly,Compound,Beginner,No,Push
Step-up with Knee Raise,Strength,Glutes, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Stiff-Legged Barbell Deadlift,Strength,Hamstrings, Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Stomach Vacuum,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Straight Raises on Incline Bench,Strength,Shoulders, Traps,Barbell,Isolation,Beginner,No,Push
Straight-Arm Pulldown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Sumo Deadlift,Powerlifting,Hamstrings, Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Sumo Deadlift with Chains,Powerlifting,Hamstrings, Abductors Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Supine Chest Throw,Plyometrics,Triceps, Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
Supine Two-Arm Overhead Throw,Plyometrics,Abdominals, Chest Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
Suspended Reverse Crunch,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Suspended Split Squat,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
Scapular Pull-Up,Strength,Traps, Lats MiddleBack,None,Isolation,Beginner,No,Pull
Scissors Jump,Plyometrics,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Seated Barbell Military Press,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
Seated Bent-Over One-Arm Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
Seated Cable Rows,Strength,MiddleBack, Biceps Lats Shoulders,Cable,Compound,Beginner,No,Pull
Seated Calf Raise,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,0,Barbell,Isolation,Intermediate,No,Pull
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Palms-Up Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Flat Bench Leg Pull-In,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Seated Front Deltoid,Stretching,Shoulders, Chest,BodyOnly,N/A,Expert,No,Static
Seated Good Mornings,Powerlifting,LowerBack, Glutes,Barbell,Compound,Intermediate,No,Pull
Seated Hamstring and Calf Stretch,Stretching,Hamstrings, Calves,Other,N/A,Intermediate,No,Static
Seated Leg Curl,Strength,Hamstrings,0,Machine,Isolation,Beginner,No,Pull
Seated One-arm Cable Pulley Rows,Strength,MiddleBack, Biceps Lats Traps,Cable,Compound,Intermediate,No,Pull
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Palm-Up Barbell Wrist Curl,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Seated Side Lateral Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
Shotgun Row,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
Shoulder Press - With Bands,Strength,Shoulders, Triceps,Bands,Compound,Beginner,No,Push
Shoulder Stretch,Stretching,Shoulders,0,None,N/A,Beginner,No,Pull
Side Hop-Sprint,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Side Lateral Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Side Leg Raises,Stretching,Adductors,0,BodyOnly,N/A,Beginner,No,Pull
Side Neck Stretch,Stretching,Neck,0,None,Isolation,Beginner,No,Static
Side to Side Box Shuffle,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Side Wrist Pull,Stretching,Shoulders, Forearms Lats,None,Isolation,Beginner,No,Static
Single Dumbbell Raise,Strength,Shoulders, Forearms Traps,Dumbbell,Isolation,Beginner,No,N/A
Single Leg Glute Bridge,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Single-Arm Cable Crossover,Strength,Chest,0,Cable,Isolation,Beginner,No,Push
Single-Arm Push-Up,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Intermediate,No,Push
Single-Leg High Box Squat,Strength,Quadriceps, Glutes Hamstrings,Other,Compound,Beginner,No,Push
Single-Leg Lateral Hop,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Leg Stride Jump,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Sit-Up,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Sled Drag - Harness,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Sled Overhead Triceps Extension,Strength,Triceps,0,Other,Isolation,Beginner,No,Push
Sled Reverse Flye,Strength,Shoulders,0,Other,Isolation,Beginner,No,Pull
Sledgehammer Swings,Plyometrics,Abdominals, Calves Forearms Lats MiddleBack Shoulders,Other,Compound,Beginner,No,Pull
Smith Machine Behind the Back Shrug,Strength,Traps, Shoulders,Machine,Isolation,Beginner,No,Pull
Smith Machine Bent Over Row,Strength,MiddleBack, Biceps Lats Shoulders,Machine,Compound,Beginner,No,Pull
Smith Machine Close-Grip Bench Press,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
Smith Machine Hang Power Clean,Strength,Hamstrings, Glutes LowerBack Quadriceps Shoulders Traps,Machine,Compound,Intermediate,No,Pull
Smith Machine Incline Bench Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Smith Machine One-Arm Upright Row,Strength,Shoulders, Biceps Traps,Machine,Compound,Beginner,No,Pull
Smith Machine Pistol Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Smith Machine Shrug,Strength,Traps, MiddleBack Shoulders,Machine,Isolation,Beginner,No,Pull
Smith Machine Stiff-Legged Deadlift,Strength,Hamstrings, Glutes LowerBack,Machine,Compound,Beginner,No,Pull
Smith Single-Leg Split Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Snatch Balance,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Snatch from Blocks,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Expert,No,Pull
Snatch Shrug,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Intermediate,No,Pull
Speed Band Pushdown,Strength,Triceps,0,Isolation,Beginner,No,Push,
Speed Squats,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Spider Crawl,Strength,Abdominals, Chest Shoulders Triceps,BodyOnly,Compound,Beginner,No,Pull
Spinal Stretch,Stretching,MiddleBack, Lats LowerBack Neck Traps,None,Isolation,Beginner,No,Static
Split Jerk,OlympicWeightlifting,Quadriceps, Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Split Snatch,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes Hamstrings LowerBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Expert,Yes,Pull
Split Squats,Stretching,Hamstrings, Calves Glutes Quadriceps,None,N/A,Intermediate,No,Push
Squat with Bands,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Squat with Plate Movers,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Stairmaster,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Intermediate,Indoor,No
Standing Barbell Calf Raise,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
Standing Bent-Over One-Arm Dumbbell Triceps Extension,Strength,Triceps, Shoulders,Dumbbell,Isolation,Beginner,No,Push
Standing Biceps Cable Curl,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
Standing Bradford Press,Strength,Shoulders, Triceps,Barbell,Compound,Beginner,No,Push
Standing Cable Lift,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
Standing Calf Raises,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Standing Dumbbell Calf Raise,Strength,Calves,0,Dumbbell,Isolation,Intermediate,No,Push
Standing Dumbbell Reverse Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Intermediate,No,Pull
Standing Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Standing Elevated Quad Stretch,Stretching,Quadriceps,0,Other,N/A,Beginner,No,Static
Standing Gastrocnemius Calf Stretch,Stretching,Calves, Hamstrings,None,N/A,Beginner,No,Static
Standing Hip Circles,Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
Standing Inner-Biceps Curl,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
