Name,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
Pallof Press With Rotation,Strength,Abdominals, Chest Shoulders Triceps,Cable,Compound,Beginner,No,Pull
Palms-Down Wrist Curl Over A Bench,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Pelvic Tilt Into Bridge,Stretching,LowerBack,0,None,Compound,Intermediate,No,Static
Peroneals-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Pin Presses,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Plank,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Plate Pinch,Strength,Forearms,0,Other,Isolation,Intermediate,No,Static
Platform Hamstring Slides,Strength,Hamstrings, Glutes,Other,Isolation,Beginner,No,Pull
Plyo Kettlebell Pushups,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Expert,No,Push
Posterior Tibialis Stretch,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Power Clean from Blocks,OlympicWeightlifting,Hamstrings, Quadriceps,Barbell,Compound,Intermediate,No,Pull
Power Partials,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Power Snatch from Blocks,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Preacher Curl,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Press Sit-Up,Strength,Abdominals, Chest Shoulders Triceps,Barbell,Compound,Expert,No,Push
Prowler Sprint,Cardio,Hamstrings, Calves Chest Glutes Quadriceps Shoulders,Other,Compound,Beginner,No,Push
Pullups,Strength,Lats, Biceps MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Push Press - Behind the Neck,OlympicWeightlifting,Shoulders, Calves Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
Push-Up Wide,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,N/A
Push-Ups With Feet Elevated,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pushups,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pyramid,Stretching,LowerBack, Shoulders,ExerciseBall,N/A,Beginner,No,Static
Pallof Press With Rotation,Strength,Abdominals, Chest Shoulders Triceps,Cable,Compound,Beginner,No,Pull
Palms-Down Wrist Curl Over A Bench,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Pelvic Tilt Into Bridge,Stretching,LowerBack,0,None,Compound,Intermediate,No,Static
Peroneals-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Pin Presses,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Plank,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Plate Pinch,Strength,Forearms,0,Other,Isolation,Intermediate,No,Static
Platform Hamstring Slides,Strength,Hamstrings, Glutes,Other,Isolation,Beginner,No,Pull
Plyo Kettlebell Pushups,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Expert,No,Push
Posterior Tibialis Stretch,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Power Clean from Blocks,OlympicWeightlifting,Hamstrings, Quadriceps,Barbell,Compound,Intermediate,No,Pull
Power Partials,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Power Snatch from Blocks,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Preacher Curl,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Press Sit-Up,Strength,Abdominals, Chest Shoulders Triceps,Barbell,Compound,Expert,No,Push
Prowler Sprint,Cardio,Hamstrings, Calves Chest Glutes Quadriceps Shoulders,Other,Compound,Beginner,No,Push
Pullups,Strength,Lats, Biceps MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Push Press - Behind the Neck,OlympicWeightlifting,Shoulders, Calves Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
Push-Up Wide,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,N/A
Push-Ups With Feet Elevated,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pushups,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Pyramid,Stretching,LowerBack, Shoulders,ExerciseBall,N/A,Beginner,No,Static
Quad Stretch,Stretching,Quadriceps,0,Other,N/A,Intermediate,No,Static
Quick Leap,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Quad Stretch,Stretching,Quadriceps,0,Other,N/A,Intermediate,No,Static
Quick Leap,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Rack Delivery,OlympicWeightlifting,Shoulders, Forearms Traps,Barbell,Compound,Intermediate,No,Pull
Rack Pulls,Powerlifting,LowerBack, Forearms Glutes Hamstrings Traps,Barbell,Compound,Intermediate,No,Pull
Recumbent Bike,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Reverse Band Bench Press,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Reverse Band Deadlift,Powerlifting,LowerBack, Abductors Adductors Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Expert,No,Pull
Reverse Band Sumo Deadlift,Powerlifting,Hamstrings, Abductors Adductors Calves Forearms Glutes LowerBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Reverse Barbell Preacher Curls,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Intermediate,No,Pull
Reverse Crunch,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Reverse Flyes With External Rotation,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Reverse Grip Triceps Pushdown,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Reverse Machine Flyes,Strength,Shoulders,0,Machine,Isolation,Beginner,No,Pull
Reverse Triceps Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Rickshaw Carry,Strongman,Forearms, Abdominals Calves Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
Ring Dips,Strength,Triceps, Chest Shoulders,Other,Compound,Intermediate,No,Push
Rocking Standing Calf Raise,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
Romanian Deadlift,Strength,Hamstrings, Calves Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Rope Climb,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Rope Jumping,Cardio,Quadriceps, Calves Hamstrings,Other,N/A,Intermediate,Both,No
Round The World Shoulder Stretch,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
'Runner''s Stretch',Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Russian Twist,Strength,Abdominals, LowerBack,BodyOnly,Compound,Intermediate,No,Pull
Rack Delivery,OlympicWeightlifting,Shoulders, Forearms Traps,Barbell,Compound,Intermediate,No,Pull
Rack Pulls,Powerlifting,LowerBack, Forearms Glutes Hamstrings Traps,Barbell,Compound,Intermediate,No,Pull
Recumbent Bike,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Reverse Band Bench Press,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
Reverse Band Deadlift,Powerlifting,LowerBack, Abductors Adductors Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Expert,No,Pull
Reverse Band Sumo Deadlift,Powerlifting,Hamstrings, Abductors Adductors Calves Forearms Glutes LowerBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Reverse Barbell Preacher Curls,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Intermediate,No,Pull
Reverse Crunch,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Reverse Flyes With External Rotation,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Reverse Grip Triceps Pushdown,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Reverse Machine Flyes,Strength,Shoulders,0,Machine,Isolation,Beginner,No,Pull
Reverse Triceps Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Rickshaw Carry,Strongman,Forearms, Abdominals Calves Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
Ring Dips,Strength,Triceps, Chest Shoulders,Other,Compound,Intermediate,No,Push
Rocking Standing Calf Raise,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
Romanian Deadlift,Strength,Hamstrings, Calves Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Rope Climb,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Rope Jumping,Cardio,Quadriceps, Calves Hamstrings,Other,N/A,Intermediate,Both,No
Round The World Shoulder Stretch,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
'Runner''s Stretch',Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Russian Twist,Strength,Abdominals, LowerBack,BodyOnly,Compound,Intermediate,No,Pull
Sandbag Load,Strongman,Quadriceps, Abdominals Biceps Calves Forearms Glutes Hamstrings LowerBack MiddleBack Shoulders Traps,Other,Compound,Beginner,Yes,Pull
Scissor Kick,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated Band Hamstring Curl,Strength,Hamstrings,0,Other,Isolation,Beginner,No,Pull
Seated Barbell Twist,Strength,Abdominals,0,Barbell,Isolation,Beginner,No,Pull
Seated Bent-Over Rear Delt Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Biceps,Stretching,Biceps, Chest Shoulders,BodyOnly,Isolation,Expert,No,Static
Seated Cable Shoulder Press,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
Seated Calf Stretch,Stretching,Calves, Hamstrings LowerBack,None,N/A,Beginner,No,Static
Seated Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Seated Floor Hamstring Stretch,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Seated Glute,Stretching,Glutes, Adductors,BodyOnly,N/A,Expert,No,Static
Seated Hamstring,Stretching,Hamstrings, Calves,None,N/A,Expert,No,Static
Seated Head Harness Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Seated Leg Tucks,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Overhead Stretch,Stretching,Abdominals,0,None,Isolation,Beginner,No,Static
Seated Palms-Down Barbell Wrist Curl,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Seated Triceps Press,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
See-Saw Press (Alternating Side Press),Strength,Shoulders, Abdominals Triceps,Dumbbell,Compound,Intermediate,No,Push
Shoulder Circles,Stretching,Shoulders, Traps,None,N/A,Beginner,No,Pull
Shoulder Raise,Stretching,Shoulders, Lats,None,N/A,Beginner,No,Pull
Side Bridge,Strength,Abdominals, Shoulders,BodyOnly,N/A,Beginner,No,Static
Side Jackknife,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Side Laterals to Front Raise,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
Side Lying Groin Stretch,Stretching,Adductors, Hamstrings,None,Isolation,Beginner,No,Static
Side Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Side To Side Chins,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Side-Lying Floor Stretch,Stretching,Lats,0,None,N/A,Beginner,No,Static
Single Leg Butt Kick,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
Single Leg Push-off,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Arm Linear Jammer,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Single-Cone Sprint Drill,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,No,Push
Single-Leg Hop Progression,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Leg Leg Extension,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
Sit Squats,Stretching,Quadriceps, Abductors Glutes Hamstrings,None,N/A,Beginner,No,Push
Skating,Cardio,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,N/A,Intermediate,No,N/A
Sled Overhead Backward Walk,Strength,Shoulders, Calves MiddleBack Quadriceps,Other,Compound,Beginner,No,Pull
Sled Push,Strongman,Quadriceps, Calves Chest Glutes Hamstrings Triceps,Other,Compound,Beginner,No,Push
Sled Row,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Smith Incline Shoulder Raise,Strength,Shoulders, Chest,Barbell,Isolation,Beginner,No,Push
Smith Machine Bench Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Calf Raise,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Decline Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,N/A
Smith Machine Hip Raise,Strength,Abdominals,0,Machine,Isolation,Beginner,No,Pull
Smith Machine Leg Press,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Smith Machine Overhead Shoulder Press,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Reverse Calf Raises,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Machine,Compound,Beginner,No,Push
Smith Machine Upright Row,Strength,Traps, Biceps MiddleBack Shoulders,Machine,Compound,Beginner,No,Pull
Snatch,OlympicWeightlifting,Quadriceps, Biceps Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Snatch Deadlift,OlympicWeightlifting,Hamstrings, Forearms Glutes Hamstrings LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Snatch Pull,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Speed Band Overhead Triceps,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Speed Box Squat,Powerlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Spell Caster,Strength,Abdominals, Glutes Shoulders,Dumbbell,Compound,Beginner,No,Pull
Spider Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Split Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Split Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Split Squat with Dumbbells,Strength,Quadriceps, Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Squat Jerk,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
Squat with Chains,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Squats - With Bands,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Bands,Compound,Beginner,No,Push
Standing Alternating Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Barbell Press Behind Neck,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Standing Biceps Stretch,Stretching,Biceps, Chest Shoulders,Other,Isolation,Beginner,No,Static
Standing Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Standing Cable Wood Chop,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
Standing Concentration Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Standing Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Push
Standing Dumbbell Upright Row,Strength,Traps, Biceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
Standing Front Barbell Raise Over Head,Strength,Shoulders,0,Barbell,Isolation,Intermediate,No,Push
Standing Hamstring and Calf Stretch,Stretching,Hamstrings,0,Other,N/A,Beginner,No,Static
Standing Hip Flexors,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
Standing Lateral Stretch,Stretching,Abdominals,0,None,N/A,Beginner,No,Static
Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Standing Low-Pulley One-Arm Triceps Extension,Strength,Triceps, Chest Shoulders,Cable,Isolation,Intermediate,No,Push
Standing Olympic Plate Hand Squeeze,Strength,Forearms, Biceps,Other,Isolation,Beginner,No,Static
Standing One-Arm Dumbbell Curl Over Incline Bench,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Standing Overhead Barbell Triceps Extension,Strength,Triceps, Shoulders,Barbell,Isolation,Beginner,No,Push
Standing Palms-In Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Standing Pelvic Tilt,Stretching,LowerBack, Glutes,None,Isolation,Beginner,No,Static
Standing Soleus And Achilles Stretch,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Standing Towel Triceps Extension,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Star Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings Shoulders,BodyOnly,Compound,Beginner,No,Push
Step-up with Knee Raise,Strength,Glutes, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Stiff-Legged Barbell Deadlift,Strength,Hamstrings, Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
Stomach Vacuum,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
Straight Raises on Incline Bench,Strength,Shoulders, Traps,Barbell,Isolation,Beginner,No,Push
Straight-Arm Pulldown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Sumo Deadlift,Powerlifting,Hamstrings, Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Sumo Deadlift with Chains,Powerlifting,Hamstrings, Abductors Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Supine Chest Throw,Plyometrics,Triceps, Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
Supine Two-Arm Overhead Throw,Plyometrics,Abdominals, Chest Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
Suspended Reverse Crunch,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Suspended Split Squat,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
Sandbag Load,Strongman,Quadriceps, Abdominals Biceps Calves Forearms Glutes Hamstrings LowerBack MiddleBack Shoulders Traps,Other,Compound,Beginner,Yes,Pull
Scissor Kick,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated Band Hamstring Curl,Strength,Hamstrings,0,Other,Isolation,Beginner,No,Pull
Seated Barbell Twist,Strength,Abdominals,0,Barbell,Isolation,Beginner,No,Pull
Seated Bent-Over Rear Delt Raise,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Biceps,Stretching,Biceps, Chest Shoulders,BodyOnly,Isolation,Expert,No,Static
Seated Cable Shoulder Press,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
Seated Calf Stretch,Stretching,Calves, Hamstrings LowerBack,None,N/A,Beginner,No,Static
Seated Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
Seated Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Seated Floor Hamstring Stretch,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
Seated Glute,Stretching,Glutes, Adductors,BodyOnly,N/A,Expert,No,Static
Seated Hamstring,Stretching,Hamstrings, Calves,None,N/A,Expert,No,Static
Seated Head Harness Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Seated Leg Tucks,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Seated Overhead Stretch,Stretching,Abdominals,0,None,Isolation,Beginner,No,Static
Seated Palms-Down Barbell Wrist Curl,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
Seated Triceps Press,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
See-Saw Press (Alternating Side Press),Strength,Shoulders, Abdominals Triceps,Dumbbell,Compound,Intermediate,No,Push
Shoulder Circles,Stretching,Shoulders, Traps,None,N/A,Beginner,No,Pull
Shoulder Raise,Stretching,Shoulders, Lats,None,N/A,Beginner,No,Pull
Side Bridge,Strength,Abdominals, Shoulders,BodyOnly,N/A,Beginner,No,Static
Side Jackknife,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Side Laterals to Front Raise,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
Side Lying Groin Stretch,Stretching,Adductors, Hamstrings,None,Isolation,Beginner,No,Static
Side Standing Long Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Side To Side Chins,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
Side-Lying Floor Stretch,Stretching,Lats,0,None,N/A,Beginner,No,Static
Single Leg Butt Kick,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
Single Leg Push-off,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Arm Linear Jammer,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Single-Cone Sprint Drill,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,No,Push
Single-Leg Hop Progression,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
Single-Leg Leg Extension,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
Sit Squats,Stretching,Quadriceps, Abductors Glutes Hamstrings,None,N/A,Beginner,No,Push
Skating,Cardio,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,N/A,Intermediate,No,N/A
Sled Overhead Backward Walk,Strength,Shoulders, Calves MiddleBack Quadriceps,Other,Compound,Beginner,No,Pull
Sled Push,Strongman,Quadriceps, Calves Chest Glutes Hamstrings Triceps,Other,Compound,Beginner,No,Push
Sled Row,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Smith Incline Shoulder Raise,Strength,Shoulders, Chest,Barbell,Isolation,Beginner,No,Push
Smith Machine Bench Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Calf Raise,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Decline Press,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,N/A
Smith Machine Hip Raise,Strength,Abdominals,0,Machine,Isolation,Beginner,No,Pull
Smith Machine Leg Press,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Smith Machine Overhead Shoulder Press,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
Smith Machine Reverse Calf Raises,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Smith Machine Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Machine,Compound,Beginner,No,Push
Smith Machine Upright Row,Strength,Traps, Biceps MiddleBack Shoulders,Machine,Compound,Beginner,No,Pull
Snatch,OlympicWeightlifting,Quadriceps, Biceps Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
Snatch Deadlift,OlympicWeightlifting,Hamstrings, Forearms Glutes Hamstrings LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Snatch Pull,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Speed Band Overhead Triceps,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Speed Box Squat,Powerlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Spell Caster,Strength,Abdominals, Glutes Shoulders,Dumbbell,Compound,Beginner,No,Pull
Spider Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Split Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Split Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Split Squat with Dumbbells,Strength,Quadriceps, Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Squat Jerk,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
Squat with Chains,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
Squats - With Bands,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Bands,Compound,Beginner,No,Push
Standing Alternating Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Barbell Press Behind Neck,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Standing Biceps Stretch,Stretching,Biceps, Chest Shoulders,Other,Isolation,Beginner,No,Static
Standing Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Standing Cable Wood Chop,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
Standing Concentration Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Standing Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Push
Standing Dumbbell Upright Row,Strength,Traps, Biceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
Standing Front Barbell Raise Over Head,Strength,Shoulders,0,Barbell,Isolation,Intermediate,No,Push
